,name,edges,nodes,clique,g_eff,triangle,g_reach,min_cycle_basis,max_ind_set,max_matching,s_materic,tree_branching_weight,closeness_vitality,num_clique,min_vertex_cover,dominating_set,clustering,assort_coeff,pearson_coeff,avg_neighbor_degree,avg_degree_connectivity,num_connected_component,num_connected,min_weight_matching
row2-11,row2-11,690,1213,1213,0.0010848962060262082,219.18399999999994,0.0029053978005061406,0,624,543,1095.0,139.58999999999978,219.18399999999994,1171,1086,618,219.18399999999994,-0.02552246323559946,-0.025522463235597696,0.18069579554822748,2.0,523,523,549
row2-12,row2-12,578,1010,1010,0.0013335426704216492,75.05600000000007,0.0031294170110236436,0,514,455,954.0,-11.845000000000008,75.05600000000007,1171,910,510,75.05600000000007,0.05680268822398975,0.056802688223989976,0.07431287128712878,2.0,432,432,463
row2-13,row2-13,484,847,847,0.0015968378637624301,-17.64900000000003,0.004121187733682086,0,433,386,792.0,25.646000000000008,-17.64900000000003,1171,772,428,-17.64900000000003,0.13166466356621598,0.13166466356621556,-0.020837072018890235,2.0,363,363,391
row2-14,row2-14,467,836,836,0.0015130982055028708,-50.14899999999991,0.004480284939103868,0,431,379,700.0,36.26699999999999,-50.14899999999991,1171,758,427,-50.14899999999991,-0.005770246657726807,-0.005770246657726779,-0.05998684210526305,2.5,369,369,386
row2-15,row2-15,445,815,815,0.001473196565221105,65.659,0.0022150249422976855,0,411,376,615.0,6.068999999999972,65.659,1171,752,417,65.659,-0.08003947298234314,-0.08003947298234373,0.08056319018404909,2.0,370,370,376
row2-16,row2-16,402,711,711,0.0018391077831263268,17.95499999999998,0.004505256893473526,0,366,318,635.0,-7.895999999999988,17.95499999999998,1171,636,364,17.95499999999998,0.005716685722284968,0.005716685722285772,0.025253164556962,2.0,309,309,324
row2-17,row2-17,519,921,921,0.0014112338510440757,88.32399999999997,0.0033024968494013334,0,471,419,807.0,6.740000000000013,88.32399999999997,1171,838,471,88.32399999999997,0.0033345738742089808,0.0033345738742091707,0.09590010857763298,2.0,402,402,421
row2-18,row2-18,549,972,972,0.0013573879624533788,92.207,0.005256327368433152,0,499,443,872.0,-27.01899999999994,92.207,1171,886,493,92.207,0.06590366607503405,0.06590366607503524,0.09486316872427983,2.5,423,423,449
row2-19,row2-19,496,879,879,0.0014587830617902066,-85.12699999999994,0.0031005529582487867,0,449,394,755.0,-9.442000000000021,-85.12699999999994,1171,788,459,-85.12699999999994,-0.04834370916916484,-0.048343709169164625,-0.09684527872582473,2.0,383,383,400
row2-2,row2-2,636,1120,1120,0.001175315970892377,141.009,0.0024014483760474536,0,582,509,1013.0,157.5240000000002,141.009,1171,1018,577,141.009,0.010159263644349607,0.01015926364434934,0.12590089285714284,2.0,484,484,512
row2-20,row2-20,536,965,965,0.0012995291638896655,-46.3640000000002,0.0033720149446462597,0,497,441,797.0,-49.267000000000046,-46.3640000000002,1171,882,497,-46.3640000000002,-0.04340622929092145,-0.04340622929092108,-0.04804559585492249,2.5,429,429,442
row2-22,row2-22,539,962,962,0.001330438739387752,198.29299999999975,0.0033556717533584223,0,489,441,820.0,64.88400000000001,198.29299999999975,1171,882,497,198.29299999999975,0.016349184803101144,0.01634918480310087,0.20612577962577935,2.0,423,423,443
row2-23,row2-23,465,848,848,0.0014224269155658528,-53.313,0.002713003786310628,0,439,388,643.0,18.029000000000043,-53.313,1171,776,437,-53.313,-0.06914985342300473,-0.06914985342300381,-0.06286910377358491,2.0,383,383,390
row2-24,row2-24,417,757,757,0.0016119393596276035,-205.5620000000001,0.0030216819237983243,0,392,348,589.0,37.77500000000005,-205.5620000000001,1171,696,389,-205.5620000000001,-0.045453065477157835,-0.04545306547715947,-0.27154821664465006,2.0,340,340,349
row2-25,row2-25,378,685,685,0.0018120117812780135,6.78300000000001,0.004773904791217851,0,353,316,556.0,35.44199999999996,6.78300000000001,1171,632,355,6.78300000000001,0.011483797612277968,0.011483797612279698,0.009902189781021913,2.5,307,307,317
row2-26,row2-26,623,1117,1117,0.0011265561342091212,51.73299999999999,0.00290830560587179,0,569,509,925.0,42.92500000000003,51.73299999999999,1171,1018,568,51.73299999999999,0.022193685630526816,0.02219368563052898,0.046314234556848695,2.0,494,494,516
row2-27,row2-27,400,702,702,0.001954888949658329,-13.88399999999998,0.009113728376815003,0,365,317,680.0,24.462000000000025,-13.88399999999998,1171,634,359,-13.88399999999998,0.05701346237359605,0.05701346237359642,-0.019777777777777752,3.0,302,302,324
row2-28,row2-28,422,758,758,0.0016742011527705659,125.53000000000004,0.004275957786041618,0,392,349,645.0,39.16899999999998,125.53000000000004,1171,698,392,125.53000000000004,0.01469578354621581,0.014695783546216142,0.16560686015831141,2.5,336,336,350
row2-29,row2-29,481,856,856,0.0015054835947605262,100.822,0.0031765899479042118,0,442,389,748.0,16.99100000000004,100.822,1171,778,437,100.822,-0.0034283681291131084,-0.003428368129113616,0.11778271028037383,2.0,375,375,392
row2-3,row2-3,520,937,937,0.0013356411168577655,92.06800000000001,0.004367025227067997,1,483,432,771.0,97.86399999999998,92.06800000000001,1171,864,479,92.06800000000001,0.06719488171818039,0.06719488171818062,0.09825827107790823,2.5,418,418,436
row2-31,row2-31,574,1014,1014,0.0012853937601450696,57.36899999999997,0.0036540439895053328,0,526,452,904.0,21.246000000000016,57.36899999999997,1171,904,524,57.36899999999997,-0.08017406986317539,-0.08017406986317484,0.056576923076923046,2.75,440,440,456
